STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
17,029,000701,2806,+39.484802,-088.159191
17,029,000702,2767,+39.487030,-088.178663
17,029,000800,2831,+39.477502,-088.174400
17,029,000900,4109,+39.472838,-088.183323
17,029,001000,3177,+39.473687,-088.355306
17,029,001100,3464,+39.472299,-088.371102
17,029,001200,3328,+39.479296,-088.389567
17,031,010100,4905,+42.021211,-087.669647
17,031,010201,6939,+42.016026,-087.680766
17,031,010202,2742,+42.015715,-087.672614
17,031,010300,6305,+42.015987,-087.666353
17,031,010400,5079,+42.003958,-087.659456
17,031,010501,4206,+42.009744,-087.664038
17,031,010502,3278,+42.004636,-087.663012
17,031,010503,2565,+41.999970,-087.662662
17,031,010600,6225,+42.005748,-087.667612
17,031,010701,3673,+42.009181,-087.679146
17,031,010702,4776,+42.009060,-087.672222
17,031,020100,4202,+42.015465,-087.687120
17,031,020200,7128,+42.015796,-087.699613
17,031,020301,5261,+42.007276,-087.705552
17,031,020302,5010,+42.009157,-087.695170
17,031,020400,4435,+42.007933,-087.685723
17,031,020500,6599,+41.999881,-087.682993
17,031,020601,6699,+42.000292,-087.701949
17,031,020602,4662,+42.001039,-087.693677
17,031,020701,1879,+41.986169,-087.703509
17,031,020702,7717,+41.994554,-087.703959
17,031,020801,5648,+41.986788,-087.694039
17,031,020802,7546,+41.994335,-087.695056
17,031,020901,5848,+41.994897,-087.686206
17,031,020902,4488,+41.993293,-087.678658
17,031,030101,3687,+41.991391,-087.656332
17,031,030102,3121,+41.993424,-087.656682
17,031,030103,2104,+41.995117,-087.657419
17,031,030104,3521,+41.996978,-087.657114
17,031,030200,5627,+41.994665,-087.664869
17,031,030300,3148,+41.994268,-087.672828
17,031,030400,2597,+41.987070,-087.672027
17,031,030500,6183,+41.987022,-087.664863
17,031,030601,3293,+41.988727,-087.656624
17,031,030603,2045,+41.985542,-087.657814
17,031,030604,3737,+41.985897,-087.654804
17,031,030701,1671,+41.982753,-087.657496
17,031,030702,2318,+41.980899,-087.654586
17,031,030703,3075,+41.978999,-087.657089
17,031,030706,2933,+41.980199,-087.655414
17,031,030800,4284,+41.979806,-087.664604
17,031,030900,2952,+41.979661,-087.671882
17,031,031000,3868,+41.972407,-087.670997
17,031,031100,4691,+41.973596,-087.663775
17,031,031200,5541,+41.972465,-087.656781
17,031,031300,6719,+41.972845,-087.652820
17,031,031400,5221,+41.958726,-087.648003
17,031,031501,4155,+41.967326,-087.652494
17,031,031502,4712,+41.963875,-087.652067
17,031,031700,6294,+41.965583,-087.662963
17,031,031800,1910,+41.966806,-087.670833
17,031,031900,2522,+41.963423,-087.669946
17,031,032100,7543,+41.958307,-087.653018
17,031,040100,3905,+41.977841,-087.681295
17,031,040201,6408,+41.972494,-087.694061
17,031,040202,7318,+41.979713,-087.694056
17,031,040300,2928,+41.977023,-087.701264
17,031,040401,3129,+41.972090,-087.685964
17,031,040402,4746,+41.971931,-087.678016
17,031,040600,2530,+41.966735,-087.684064
17,031,040700,3426,+41.966901,-087.693904
17,031,040800,1636,+41.963067,-087.692166
17,031,040900,2063,+41.963482,-087.683046
17,031,050100,2568,+41.957677,-087.676923
17,031,050200,5309,+41.957724,-087.683709
17,031,050300,2671,+41.957611,-087.691103
17,031,050500,5117,+41.950307,-087.683245
17,031,050600,2443,+41.950559,-087.676573
17,031,050700,1513,+41.944924,-087.676184
17,031,050800,1406,+41.944973,-087.680769
17,031,050900,1426,+41.945005,-087.685629
17,031,051000,1538,+41.941243,-087.685359
17,031,051100,1599,+41.941283,-087.680886
17,031,051200,1581,+41.941350,-087.676199
17,031,051300,2907,+41.935780,-087.675962
17,031,051400,2492,+41.936381,-087.680874
17,031,060100,2830,+41.957387,-087.666453
17,031,060200,2313,+41.957880,-087.670857
17,031,060300,3076,+41.950723,-087.671221
17,031,060400,3709,+41.950896,-087.666626
17,031,060500,1374,+41.952541,-087.662347
17,031,060800,5295,+41.953477,-087.647235
17,031,060900,7104,+41.949049,-087.645572
17,031,061000,2279,+41.949622,-087.651875
17,031,061100,1367,+41.949553,-087.656949
17,031,061200,1932,+41.949108,-087.661540
17,031,061500,1797,+41.945496,-087.661530
17,031,061800,1051,+41.946442,-087.646739
17,031,061901,3625,+41.942988,-087.643347
17,031,061902,4665,+41.942587,-087.641146
17,031,062000,2843,+41.942814,-087.647123
